"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
27,4,3,1,2,1,2,3,4,1,1
129,6,4,2,1,1,2,2,3,3,3
106,4,2,2,2,1,2,1,1,2,2
128,3,3,1,2,1,2,3,1,1,1
125,6,3,1,2,1,2,2,4,3,1
102,5,4,1,2,1,2,4,2,4,2
21,4,2,1,2,1,1,1,1,1,2
26,6,3,1,1,1,1,2,1,1,1
67,6,4,1,1,1,2,4,2,3,3
119,5,3,1,1,1,2,1,4,4,4
116,1,3,1,2,1,1,2,2,1,1
106,4,4,1,2,1,1,4,4,2,1
105,4,4,1,2,1,1,2,1,1,2
27,4,4,1,1,1,1,1,1,2,1
4,5,3,1,1,1,1,4,4,2,3
106,4,3,1,1,1,2,1,3,3,1
87,6,3,1,1,1,2,1,3,3,4
27,4,4,1,1,1,2,2,4,2,1
40,5,4,1,2,1,2,2,1,2,1
123,6,2,2,1,1,1,2,3,3,4
76,4,4,1,2,1,2,2,3,3,4
40,5,3,4,2,1,3,1,3,2,4
87,6,3,2,1,1,4,4,4,3,2
106,4,4,1,1,1,2,3,3,1,1
106,4,3,1,1,1,1,1,1,2,1
106,4,4,1,1,1,2,4,3,2,4
60,4,4,1,2,1,2,2,1,1,2
40,5,4,1,1,1,2,3,2,2,3
131,3,1,1,1,1,2,2,2,2,1
48,5,3,1,2,1,2,2,2,3,1
48,5,4,1,1,1,2,1,3,1,1
2,4,3,1,2,1,2,2,3,3,2
40,5,3,1,1,1,1,2,2,2,4
32,4,2,1,2,1,3,1,1,1,1
44,4,3,1,1,1,2,2,4,4,2
102,5,3,1,2,1,2,2,1,1,1
2,4,4,1,2,1,2,2,2,3,1
40,5,3,1,2,1,2,3,2,3,1
72,5,4,4,1,1,2,2,2,1,1
72,5,2,1,1,1,2,2,2,1,2
4,5,3,1,2,1,3,3,3,2,4
26,6,3,4,2,1,2,2,3,3,1
27,4,4,1,2,1,1,2,1,2,1
121,2,2,2,1,1,3,1,1,2,1
32,4,3,1,1,1,1,2,2,2,2
2,4,4,2,1,1,2,2,2,4,2
57,6,1,1,1,1,2,2,1,3,3
95,4,2,2,2,1,3,1,2,2,3
47,3,4,1,1,1,1,4,4,2,1
27,4,4,1,1,1,2,2,2,1,1
102,5,4,1,1,1,1,2,1,2,1
40,5,3,1,2,1,1,2,1,1,1
40,5,4,1,1,1,2,2,1,2,4
125,6,4,1,1,1,2,2,2,1,2
47,3,4,1,2,1,1,2,2,3,1
